Date time;Volume [mV];Light_Level [Ohms];Temperature-DHT [Celsius];Pressure [Hectopascal];Temperature-BMP [Celsius];Relative_Humidity [%];Air_Quality [Ohms];Carbon_Monoxide [Ohms];Nitrogen_Dioxide [Ohms]
27/11/2016 18:37;9.435.483.871;10220000;2.695.999.985;1.025.531.949;25.555;3.057.999.983;3.798.282.676;2.842.127.572;1.777.641.444
27/11/2016 18:42;9.370.967.742;10220000;2.701.000.004;1.025.597.761;25.615;3.058.000.031;3.799.332.321;2.853.075.934;1.781.784.963
27/11/2016 18:47;9.838.709.677;10220000;2.694.499.979;1.025.721.848;25.525;3.028.500.023;3.866.018.286;2.874.429.526;1.790.512.351
27/11/2016 18:52;9.967.741.935;10220000;2.706.000.023;1.025.805.242;25.36;3.035.999.966;3.833.324.071;2.881.819.993;1.800.061.597
27/11/2016 18:57;9.274.193.548;10220000;2.698.499.994;1.025.882.609;25.25;3.017.500.019;3.842.972.435;2.884.575.661;1.806.976.739
27/11/2016 19:02;9.435.483.871;10220000;2.696.999.989;1.025.976.553;25.28;3.014.000.006;3.845.638.186;2.874.282.991;1.808.899.594
27/11/2016 19:07;9.370.967.742;10220000;2.700.500.002;1.026.074.014;25.23;3.004.500.017;384.024.966;2.876.613.755;1.810.054.569
27/11/2016 19:12;9.322.580.645;10220000;2.701.500.006;1.026.146.859;25.155;299.749.999;3.867.761.251;2.876.180.937;181.277.074
27/11/2016 19:17;9.193.548.387;7.665.504.821;2.704.000.015;1.026.194.585;25.305;2.995.999.985;3.855.244.652;2.737.506.736;1.800.185.125
27/11/2016 19:22;1.498.387.097;10220000;2.678.999.939;1.026.304.103;25.665;2.979.499.979;3.833.397.452;276657.96;1.789.813.212
27/11/2016 19:27;9.709.677.419;10220000;2.666.000.032;1.026.438.741;25.59;2.974.500.027;3.932.725.488;2.843.335.842;1.793.196.723
27/11/2016 19:32;9.177.419.355;10220000;2.653.000.011;1.026.534.192;25.47;2.994.999.981;3.919.390.864;2.671.999.136;1.775.035.299
27/11/2016 19:37;95;10220000;2.661.500.044;1.026.621.606;25.435;2.979.499.969;3.891.076.678;2.647.278.915;1.747.794.165
27/11/2016 19:42;9.193.548.387;10220000;2.668.500.071;1.026.705.503;25.505;2.964.000.044;3.867.205.954;2.671.461.541;1.740.801.924
27/11/2016 19:47;9.564.516.129;10220000;2.664.500.055;1.026.718.063;25.435;2.967.000.017;3.879.640.482;2.650.359.089;1.729.866.302
27/11/2016 19:52;9.290.322.581;10220000;2.677.999.954;1.026.772.822;25.34;2.938.499.966;3.836.528.828;2.545.625.703;1.694.623.101
27/11/2016 19:57;9.048.387.097;10220000;2.685.499.945;1.026.782.869;25.315;2.923.500.013;3.819.531.316;2.571.636.957;1.665.462.703
27/11/2016 20:02;9.774.193.548;10220000;2.678.499.994;1.026.880.833;25.31;2.927.999.983;3.875.299.915;2.617.299.857;1.666.169.163
27/11/2016 20:07;8.838.709.677;10220000;2.680.499.954;1.026.941.118;25.315;2.926.000.013;3.870.400.121;257.434.348;1.648.229.492
27/11/2016 20:12;9.435.483.871;10220000;2.681.999.931;1.026.959.204;25.315;2.917.500.029;3.789.458.803;2.474.062.865;1.620.417.534
27/11/2016 20:17;8.903.225.806;10220000;2.685.499.945;1.027.004.418;25.26;2.905.500.021;3.777.355.485;2.532.030.245;1.604.727.042
27/11/2016 20:22;9.080.645.161;10220000;2.680.999.956;1.027.107.908;25.315;291.000.001;3.777.703.847;2.526.410.192;1.592.834.727
27/11/2016 20:27;8.951.612.903;10220000;2.682.499.933;1.027.174.724;25.26;2.903.000.011;3.777.922.378;2.509.493.678;1.587.260.691
27/11/2016 20:32;9.241.935.484;8685500;2.688.499.956;102.724.154;25.155;2.897.499.981;3.734.668.544;2.396.314.091;1.558.503.087
27/11/2016 20:37;9.193.548.387;6554250;2.685.499.945;102.734.503;25.245;2.895.499.983;3.790.020.935;2.473.604.236;1.538.469.354
27/11/2016 20:42;9.306.451.613;10220000;2.677.499.962;102.742.742;25.205;2.897.999.992;3.808.394.113;2.558.828.977;155.721.296
27/11/2016 20:47;9.209.677.419;10220000;2.684.499.941;1.027.442.491;25.145;2.883.499.966;3.763.229.991;2.455.201.534;1.549.543.597
27/11/2016 20:52;9.435.483.871;10220000;2.675.999.985;1.027.538.445;25.24;2.895.999.985;3.763.846.054;252.874.013;1.553.684.458
27/11/2016 20:57;1.516.129.032;10220000;2.678.499.947;1.027.632.892;25.145;2.891.999.969;3.750.440.292;2.478.446.027;1.546.069.003
27/11/2016 21:02;964.516.129;10220000;2.674.499.979;1.027.668.058;25.125;2.892.999.973;3.748.265.338;248097.62;1.536.590.633
27/11/2016 21:07;9.790.322.581;10220000;2.676.499.977;1.027.736.382;25.1;2.885.999.947;3.744.003.197;2.491.233.913;1.535.635.607
27/11/2016 21:12;9.129.032.258;10220000;2.674.999.971;1.027.878.052;25.1;2.881.999.969;3.787.952.409;2.523.329.615;1.537.231.434
27/11/2016 21:17;9.225.806.452;10220000;2.674.500.008;1.027.955.921;25.12;2.884.999.943;3.794.632.196;2.476.804.961;1.538.152.061
27/11/2016 21:22;9.080.645.161;10220000;2.678.999.939;1.027.993.599;25.115;2.877.999.954;3.782.595.557;2.422.569.875;1.526.260.089
27/11/2016 21:27;9.580.645.161;10220000;2.679.999.924;1.028.058.406;25.01;286.550.005;3.775.638.588;2.433.236.788;1.505.210.297
27/11/2016 21:32;9.661.290.323;10220000;2.679.999.924;1.028.150.341;25;2.856.500.025;3.756.482.329;2.438.714.793;1.503.982.701
27/11/2016 21:37;8.983.870.968;10220000;2.677.999.954;1.028.193.043;24.985;2.859.500.036;3.785.241.516;2.473.547.388;1.499.395.322
27/11/2016 21:42;9.193.548.387;10220000;2.667.500.067;1.028.231.726;25.005;2.866.000.061;3.773.233.273;2.552.743.489;1.520.957.892
27/11/2016 21:47;9.274.193.548;10220000;2.670.500.069;1.028.296.533;24.995;2.857.000.027;3.705.937.828;247.295.448;1.521.261.335
27/11/2016 21:52;9.290.322.581;10220000;2.677.999.954;1.028.325.168;25.02;2.851.500.006;3.724.859.795;2.447.109.328;1.515.687.956
27/11/2016 21:57;9.677.419.355;10220000;2.673.500.023;1.028.361.842;24.925;2.845.999.985;3.743.767.833;2.601.634.553;1.530.652.311
27/11/2016 22:03;8.983.870.968;10220000;2.670.500.059;1.028.324.666;24.985;2.848.499.994;3.754.475.244;2.548.780.897;1.539.425.989
27/11/2016 22:08;9.935.483.871;10220000;2.656.000.023;1.028.366.363;25.1;286.050.004;3.851.794.173;2.741.324.419;157.399.718
27/11/2016 22:13;9.322.580.645;10220000;2.648.999.996;102.840.153;25.045;2.869.500.055;3.858.515.906;2.699.200.153;1.597.779.794
27/11/2016 22:18;1.059.677.419;10220000;2.645.999.985;102.843.318;25.05;2.873.500.013;3.849.498.218;2.744.717.711;1.613.393.805
27/11/2016 22:23;9.548.387.097;10220000;2.657.000.027;1.028.451.265;24.92;2.854.000.015;3.789.939.507;2.659.862.626;1.619.053.452
27/11/2016 22:28;9.290.322.581;10220000;2.653.000.011;1.028.496.479;25.11;2.858.500.032;3.834.619.571;2.726.615.762;1.624.434.172
27/11/2016 22:33;1.408.064.516;10220000;2.643.499.975;1.028.509.541;25.095;2.867.000.065;3.867.684.911;2.772.192.198;1.642.436.654
27/11/2016 22:38;1.066.129.032;10220000;2.651.500.006;1.028.542.195;25.045;285.250.001;3.792.511.132;2.713.210.688;1.643.073.737
27/11/2016 22:43;9.629.032.258;10220000;2.656.000.023;1.028.547.722;25;2.839.999.962;3.788.866.039;2.692.534.507;1.642.733.091
27/11/2016 22:48;1.014.516.129;10220000;2.659.000.034;1.028.563.798;25.075;2.836.499.949;3.839.321.755;2.793.098.758;1.652.008.531
27/11/2016 22:53;9.370.967.742;10220000;2.658.000.031;1.028.641.666;25;2.834.999.962;3.779.469.031;2.726.599.955;1.659.910.714
27/11/2016 22:58;9.532.258.065;10220000;2.657.500.029;1.028.759.223;25.04;2.828.499.975;3.793.615.971;2.753.815.867;1.665.468.151
27/11/2016 23:03;9.274.193.548;10220000;2.656.000.023;1.028.801.925;25.06;2.828.999.996;3.822.258.875;2.793.279.265;167.137.517
27/11/2016 23:08;9.790.322.581;10220000;2.662.500.048;1.028.841.612;25.035;2.820.500.031;3.777.831.513;2.671.273.072;165.681.483
27/11/2016 23:13;914.516.129;10220000;2.668.000.069;1.028.926.012;25.005;2.811.000.042;3.777.269.247;2.686.382.762;1.650.951.004
27/11/2016 23:18;914.516.129;10220000;2.668.500.071;1.028.921.491;24.995;2.809.500.036;3.798.569.511;2.656.581.756;1.644.102.734
27/11/2016 23:23;9.790.322.581;10220000;2.660.000.038;1.028.959.671;25;2.815.000.048;3.820.705.825;2.712.641.658;1.644.464.629
27/11/2016 23:28;9.338.709.677;10220000;2.655.000.019;102.898.479;24.955;2.823.000.002;3.782.411.796;2.734.785.969;1.659.220.543
27/11/2016 23:33;9.629.032.258;10220000;2.651.000.004;1.029.089.787;24.97;2.826.499.977;3.790.668.543;2.698.164.292;1.663.035.408
27/11/2016 23:38;9.016.129.032;8941250;2.652.000.008;1.029.075.218;24.995;2.823.000.031;3.766.481.703;2.740.788.146;1.663.741.826
27/11/2016 23:43;9.467.741.935;10220000;2.651.500.006;1.029.126.963;24.965;2.820.000.076;3.781.963.586;2.631.813.693;1.655.088.462
27/11/2016 23:48;9.596.774.194;10220000;265.250.001;1.029.218.898;24.93;282.050.005;3.780.960.025;2.699.105.975;1.655.776.813
27/11/2016 23:53;9.435.483.871;10220000;2.651.000.004;1.029.217.893;24.905;2.818.000.069;3.786.209.797;2.647.363.082;1.652.668.394
27/11/2016 23:58;935.483.871;10220000;2.650.500.002;1.029.230.453;24.85;2.814.500.055;3.810.472.491;2.675.855.558;1.657.492.425
28/11/2016 0:03;9.758.064.516;10220000;2.647.999.992;1.029.304.805;24.83;2.820.000.076;3.797.757.006;2.599.568.854;1.647.541.044
28/11/2016 0:08;9.677.419.355;10220000;2.647.999.992;1.029.313.345;24.815;2.818.500.071;3.822.121.899;2.616.990.334;1.631.177.367
28/11/2016 0:13;1.570.967.742;10220000;26.5;1.029.397.242;24.805;2.814.000.053;3.778.873.956;2.593.944.307;1.630.534.444
28/11/2016 0:18;9.274.193.548;10220000;2.645.999.985;1.029.342.483;24.815;2.812.500.048;3.762.206.088;2.521.349.145;1.609.372.058
28/11/2016 0:23;9.838.709.677;10220000;2.638.999.958;1.029.341.981;24.78;281.300.005;3.831.225.646;2.619.572.462;1.616.043.123
28/11/2016 0:28;9.435.483.871;10220000;2.638.999.958;1.029.356.047;24.785;2.814.000.053;3.829.280.938;2.602.240.258;1.624.095.291
28/11/2016 0:33;9.403.225.806;10220000;2.623.000.002;1.029.339.469;24.76;2.841.999.998;3.826.152.585;2.536.227.327;1.617.732.302
28/11/2016 0:38;9.661.290.323;10220000;2.618.500.052;1.029.381.668;24.625;2.856.000.023;3.862.311.276;2.484.569.562;1.595.477.421
28/11/2016 0:43;9.483.870.968;10220000;2.615.500.059;1.029.383.678;24.535;2.858.500.032;3.851.030.938;2.490.813.355;1.580.735.408
28/11/2016 0:48;9.790.322.581;10220000;2.615.500.059;1.029.449.489;24.565;2.861.000.042;3.813.679.217;2.483.395.973;1.574.236.421
28/11/2016 0:53;9.241.935.484;10220000;2.611.500.044;1.029.418.844;24.475;2.861.000.042;3.828.040.664;2.406.370.079;1.561.684.009
28/11/2016 0:58;9.451.612.903;10220000;2.613.500.052;1.029.452.001;24.415;2.857.000.027;3.767.890.409;2.445.502.429;1.551.122.195
28/11/2016 1:03;9.838.709.677;10220000;2.607.500.029;1.029.526.353;24.395;2.868.000.031;3.810.573.102;2.459.998.946;1.554.311.097
28/11/2016 1:08;9.290.322.581;10220000;2.601.500.006;1.029.613.264;24.325;2.866.500.063;3.825.392.044;2.463.639.575;1.557.501.598
28/11/2016 1:13;1.064.516.129;10220000;2.601.000.004;1.029.666.516;24.31;2.866.500.063;3.824.855.368;2.471.046.617;1.557.820.489
28/11/2016 1:18;9.451.612.903;10220000;26;1.029.587.141;24.3;286.300.005;3.815.919.212;2.477.432.004;1.561.666.353
28/11/2016 1:23;9.806.451.613;10220000;2.596.999.989;1.029.642.905;24.245;2.854.000.015;3.782.610.472;2.468.989.962;156.262.782
28/11/2016 1:28;9.435.483.871;10220000;26;1.029.593.672;24.24;285.250.001;3.787.229.974;2.489.050.311;1.565.204.625
28/11/2016 1:33;9.129.032.258;10220000;2.607.500.029;1.029.648.431;24.285;2.839.999.962;3.716.613.766;2.507.096.238;1.578.130.894
28/11/2016 1:38;9.741.935.484;10220000;2.610.000.038;1.029.643.909;24.285;2.834.499.941;372.040.836;2.509.616.202;1.584.319.288
28/11/2016 1:43;9.451.612.903;10220000;2.603.500.013;1.029.690.631;24.23;2.830.999.956;3.687.657.405;2.508.428.403;1.590.532.406
28/11/2016 1:48;1.522.580.645;10220000;260.250.001;1.029.748.906;24.295;2.824.000.034;3.662.681.247;2.598.475.719;1.609.407.646
28/11/2016 1:53;9.677.419.355;10220000;2.595.999.985;1.029.837.325;24.25;2.822.500.019;3.718.174.168;2.531.916.321;1.614.379.629
28/11/2016 1:58;9.451.612.903;10220000;2.599.499.998;1.029.849.884;24.205;2.820.000.038;3.680.376.518;2.544.355.545;1.612.700.771
28/11/2016 2:03;964.516.129;10220000;2.599.499.998;1.029.894.093;24.3;2.814.000.053;3.668.337.323;2.547.545.662;1.618.382.589
28/11/2016 2:08;935.483.871;10220000;2.603.000.011;1.029.944.331;24.225;2.808.000.031;3.686.495.611;2.539.823.812;16.207.289
28/11/2016 2:13;9.306.451.613;10220000;2.605.000.019;1.029.956.891;24.235;2.803.500.013;3.673.821.581;2.556.415.747;162.915.269
28/11/2016 2:18;964.516.129;10220000;2.598.499.994;103.000.964;24.21;2.809.000.034;3.683.442.154;2.527.838.875;1.627.461.694
28/11/2016 2:23;9.596.774.194;10220000;2.599.499.998;1.030.066.911;24.15;2.803.000.021;3.650.640.053;2.585.389.561;1.634.225.678
28/11/2016 2:28;964.516.129;10220000;2.597.999.992;1.030.131.718;24.185;2.794.000.015;3.660.154.758;2.614.066.816;1.650.269.726
28/11/2016 2:33;90;10220000;2.593.999.977;1.030.228.677;24.155;2.782.000.046;3.651.605.322;262175.85;1.660.258.489
28/11/2016 2:38;985.483.871;10220000;2.594.499.979;1.030.273.389;24.145;2.776.500.015;3.652.119.785;2.636.567.568;1.668.237.773
28/11/2016 2:43;914.516.129;10220000;2.589.999.962;1.030.373.864;24.065;2.766.500.063;3.650.583.058;2.610.028.211;1.673.465.545
28/11/2016 2:48;9.370.967.742;10220000;2.588.999.958;103.035.829;23.995;2.767.000.065;3.667.688.804;2.623.749.103;1.675.215.429
28/11/2016 2:53;9.370.967.742;10220000;258.699.995;1.030.362.309;23.975;2.767.000.065;3.651.594.952;2.656.759.396;1.683.283.995
28/11/2016 2:58;1.037.096.774;10220000;2.582.499.933;1.030.376.878;24.035;2.771.500.053;3.658.141.286;2.681.478.328;1.696.013.891
28/11/2016 3:03;9.451.612.903;10220000;2.580.999.928;1.030.382.404;24.03;2.770.000.076;3.661.644.993;266.192.088;170.170.959
28/11/2016 3:08;9.016.129.032;10220000;2.579.999.924;1.030.486.397;23.955;2.770.000.076;3.661.651.894;2.687.828.022;1.705.279.986
28/11/2016 3:13;8.983.870.968;10220000;2.579.999.924;103.050.197;23.935;2.772.000.046;3.663.164.671;2.651.076.536;1.707.427.897
28/11/2016 3:18;9.629.032.258;10220000;2.578.999.939;1.030.519.051;23.88;2.767.000.065;3.665.179.818;2.685.500.428;1.708.504.694
28/11/2016 3:23;1.309.677.419;10220000;2.579.999.924;1.030.563.763;23.91;2.764.500.055;3.662.183.985;2.734.449.343;1.725.846.715
28/11/2016 3:28;1.116.129.032;10220000;2.579.499.931;1.030.577.829;23.795;2.762.000.046;3.667.198.497;2.731.307.797;1.732.011.765
28/11/2016 3:33;9.322.580.645;10220000;2.576.499.977;1.030.571.801;23.815;2.760.000.038;3.680.374.906;274.455.253;1.738.227.409
28/11/2016 3:38;9.935.483.871;10220000;2.574.000.015;1.030.633.091;23.815;2.760.000.038;3.689.014.693;2.779.663.547;1.751.857.074
28/11/2016 3:43;9.532.258.065;10220000;2.577.499.962;1.030.673.281;23.745;2.756.000.023;3.694.610.399;2.756.650.864;1.757.418.409
28/11/2016 3:48;9.193.548.387;10220000;2.570.500.069;1.030.651.679;23.705;2.760.000.038;3.712.477.527;2.804.497.258;1.770.109.866
28/11/2016 3:53;9.596.774.194;10220000;2.565.500.059;1.030.683.329;23.695;2.760.000.038;3.733.568.497;2.766.884.885;1.773.487.761
28/11/2016 3:58;9.483.870.968;10220000;2.564.000.053;1.030.717.993;23.61;2.758.500.032;3.722.806.007;2.749.619.407;1.768.985.937
28/11/2016 4:03;9.677.419.355;10220000;2.560.000.038;1.030.761.197;23.6;2.753.500.013;3.744.957.099;2.788.492.218;1.774.241.119
28/11/2016 4:08;9.838.709.677;10220000;2.560.000.038;103.085.263;23.59;2.755.000.019;3.734.605.233;2.794.005.527;1.782.165.748
28/11/2016 4:13;9.209.677.419;10220000;2.560.000.038;1.030.885.787;23.54;2.751.500.006;3.744.489.452;2.774.420.194;1.783.680.675
28/11/2016 4:18;9.548.387.097;10220000;2.560.000.038;1.030.911.408;23.585;275.250.001;3.752.229.242;2.806.311.444;1.790.897.291
28/11/2016 4:23;9.290.322.581;10220000;2.559.500.036;1.030.927.986;23.485;27.5;3.762.111.431;2.823.686.447;1.798.910.847
28/11/2016 4:28;9.306.451.613;10220000;2.560.000.038;1.030.899.351;23.515;27.5;3.740.806.266;2.838.264.845;1.807.744.618
28/11/2016 4:33;9.483.870.968;10220000;2.686.000.032;1.030.959.134;23.485;274.749.999;3.747.549.123;2.810.633.293;1.807.744.618
28/11/2016 4:38;935.483.871;10220000;255.250.001;1.030.964.158;23.455;274.749.999;376.229.091;281.957.351;1.813.925.698
28/11/2016 4:43;9.290.322.581;10220000;2.678.500.004;1.031.024.443;23.415;2.744.999.981;3.763.175.698;2.827.954.775;1.815.084.915
28/11/2016 4:48;9.048.387.097;10220000;2.548.999.996;1.031.039.514;23.335;27.5;3.785.621.403;2.843.833.002;1.822.076.491
28/11/2016 4:53;9.483.870.968;10220000;2.544.499.979;1.031.077.193;23.36;27.5;3.786.696.826;2.824.031.715;1.825.577.599
28/11/2016 4:58;964.516.129;10220000;2.543.499.975;1.031.134.464;23.39;2.746.499.987;377.306.156;2.871.434.057;1.834.588.703
28/11/2016 5:03;155.483.871;10220000;2.540.999.966;1.031.211.327;23.23;2.743.999.977;3.824.286.412;2.896.372.039;1.847.625.388
28/11/2016 5:08;1.008.064.516;10220000;2.539.999.962;1.031.285.679;23.255;2.741.999.969;3.815.229.894;2.855.762.344;1.846.020.195
28/11/2016 5:13;9.596.774.194;10220000;2.535.499.945;103.134.295;23.28;2.739.999.962;3.803.069.765;2.857.376.713;1.847.999.071
28/11/2016 5:18;9.322.580.645;10220000;2.538.999.958;1.031.396.202;23.23;2.739.999.962;3.832.255.696;2.884.033.981;1.857.942.115
28/11/2016 5:23;935.483.871;10220000;253.949.996;1.031.444.933;23.2;2.735.499.945;3.844.518.811;2.885.092.957;1.863.549.636
28/11/2016 5:28;9.258.064.516;10220000;2.534.499.941;1.031.469.549;23.17;2.738.499.956;3.847.196.038;2.902.264.995;1.870.778.255
28/11/2016 5:33;9.725.806.452;10220000;2.529.999.924;1.031.496.678;23.12;2.737.499.952;3.834.415.297;2.879.403.187;1.872.392.647
28/11/2016 5:38;9.241.935.484;10220000;2.524.000.015;1.031.499.692;23.16;2.739.999.962;3.835.464.434;2.811.543.076;1.865.555.212
28/11/2016 5:43;9.983.870.968;10220000;2.528.499.947;1.031.517.275;23.125;2.736.499.949;3.826.905.315;2.871.049.244;1.870.375.791
28/11/2016 5:48;9.532.258.065;10220000;2.526.999.969;1.031.569.523;23.09;2.731.499.929;3.849.867.481;2.866.353.852;1.875.214.433
28/11/2016 5:53;9.612.903.226;10220000;2.520.500.069;1.031.640.358;23.015;2.735.499.945;3.863.316.247;2.879.974.932;1.877.238.091
28/11/2016 5:58;9.419.354.839;10220000;2.520.500.069;1.031.664.472;23.005;2.730.999.928;384.938.939;2.890.746.523;1.884.132.251
28/11/2016 6:03;9.274.193.548;10220000;2.518.500.071;1.031.696.624;23.015;2.729.999.924;3.844.604.508;2.924.660.007;1.896.389.002
28/11/2016 6:08;985.483.871;10220000;2.520.000.076;1.031.733.298;23.03;2.729.999.924;3.836.517.473;2.905.814.217;1.903.368.449
28/11/2016 6:13;9.161.290.323;10220000;2.517.500.067;1.031.742.341;22.97;2.728.999.939;3.874.118.576;2.885.636.944;1.902.133.499
28/11/2016 6:18;9.370.967.742;10220000;251.050.004;1.031.764.445;23.18;2.724.500.008;3.840.253.512;2.848.116.367;1.902.963.796
28/11/2016 6:23;9.709.677.419;10220000;2.510.000.038;1.031.836.787;23.2;2.727.999.954;3.834.362.196;2.829.798.366;18.980.263
28/11/2016 6:28;9.467.741.935;10220000;2.507.000.027;1.031.844.323;23.175;2.729.999.924;3.821.100.412;2.798.558.325;1.891.063.094
28/11/2016 6:33;9.661.290.323;10220000;2.501.500.006;1.031.876.978;23.235;2.729.999.924;3.840.832.153;2.826.291.193;1.895.972.701
28/11/2016 6:38;1.498.387.097;10220000;2.509.000.034;1.031.909.632;23.15;2.721.000.061;3.849.943.493;2.845.519.116;1.903.812.938
28/11/2016 6:43;9.532.258.065;10220000;2.500.500.002;1.031.917.168;23.175;2.728.499.947;384.348.489;2.828.447.937;190.296.149
28/11/2016 6:48;9.629.032.258;10220000;2.502.000.008;1.031.936.761;23.24;2.726.999.969;3.835.959.762;2.818.195.976;1.908.733.974
28/11/2016 6:53;9.258.064.516;10220000;249.749.999;1.031.990.013;23.2;2.729.999.924;3.850.960.477;279.505.352;1.904.191.749
28/11/2016 6:58;9.548.387.097;10220000;2.496.999.989;1.032.056.326;23.075;2.724.500.008;3.855.246.603;2.787.322.255;1.900.079.899
28/11/2016 7:03;9.467.741.935;10220000;2.479.500.008;1.032.079.938;23.035;2.734.499.969;3.942.223.354;2.781.976.313;1.890.660.688
28/11/2016 7:08;9.983.870.968;9964250;24.75;103.214.374;23.145;2.741.999.969;3.964.369.446;2.867.021.209;1.902.956.799
28/11/2016 7:13;9.838.709.677;5190250;2.483.499.985;1.032.178.404;23.255;2.757.000.027;3.840.803.062;2.766.857.045;1.893.116.674
28/11/2016 7:18;935.483.871;3655750;2.498.999.996;1.032.240.197;23.475;2.750.500.002;3.783.621.841;2.703.933.607;1.874.857.356
28/11/2016 7:23;9.661.290.323;6469000;2.516.500.063;1.032.291.439;23.655;2.744.999.981;3.697.726.045;2.652.999.627;1.845.244.048
28/11/2016 7:28;9.516.129.032;5360750;2.520.000.076;1.032.326.606;23.705;2.737.999.954;368.198.913;2.630.659.754;1.821.300.127
28/11/2016 7:33;1.077.419.355;4082000;2.528.499.947;1.032.325.601;23.87;2.726.499.977;3.666.697.748;2.609.777.126;180.774.674
28/11/2016 7:38;9.532.258.065;2368475;2.534.499.941;1.032.389.905;23.915;2.712.000.046;3.660.721.606;2.643.940.084;1.804.279.693
28/11/2016 7:43;9.096.774.194;1.247.677.381;2.671.499.977;1.032.419.043;24.06;2.702.000.008;3.696.277.157;2.648.131.742;180.005.951
28/11/2016 7:48;9.677.419.355;5.853.239.659;2.683.000.021;1.032.508.969;24.12;2.687.999.954;3.731.634.484;2.607.548.739;1.793.939.563
28/11/2016 7:53;9.741.935.484;2.645.486.393;2.562.000.046;1.032.598.392;24.205;2.677.499.962;3.760.696.632;2.618.193.896;1.789.756.957
28/11/2016 7:58;95;1.283.050.807;2.569.500.074;1.032.674.753;24.275;2.673.000.031;3.802.136.751;2.593.016.566;178.557.849
28/11/2016 8:03;9.403.225.806;6.772.018.011;2.578.999.939;1.032.752.622;24.295;266.300.005;3.831.197.245;2.596.017.769;1.780.270.036
28/11/2016 8:08;100;3.922.744.525;2.580.499.926;1.032.860.131;24.395;2.658.500.032;3.851.023.324;2.591.282.978;1.778.009.962
28/11/2016 8:13;1.533.870.968;2.502.372.315;258.949.996;1.032.939.004;24.435;2.651.000.004;3.822.213.895;257.811.328;1.776.886.083
28/11/2016 8:18;1.035.483.871;1.724.664.353;2.591.999.969;1.033.002.806;24.46;267.800.004;3.797.858.715;2.565.425.141;1.765.239.508
28/11/2016 8:23;9.693.548.387;1.269.103.912;2.596.999.989;1.033.105.291;24.45;2.691.000.023;3.735.128.866;2.559.285.705;1.760.393.385
28/11/2016 8:28;1.027.419.355;9.820.247.712;2.596.999.989;1.033.174.619;24.47;2.699.500.027;3.760.617.726;2.576.993.433;1.761.515.294
28/11/2016 8:33;8.983.870.968;79.531.287;2.598.499.994;1.033.242.942;24.58;271.050.004;3.760.170.371;2.582.517.408;1.768.985.937
28/11/2016 8:38;9.596.774.194;6.675.167.552;2.608.000.031;1.033.299.711;24.55;2.712.000.046;3.758.544.504;2.606.400.146;1.771.233.795
28/11/2016 8:43;9.258.064.516;576.839.099;2.610.000.038;1.033.428.822;24.58;2.712.500.048;3.761.735.928;2.576.294.798;1.765.988.794
